comuna;cut_comuna;region;cut_region;fecha;delito;delito_n
Chillán Viejo;16103;Ñuble;16;2023-11-01;Violencia intrafamiliar a mujer;13
La Pintana;13112;Metropolitana de Santiago;13;2021-12-01;Femicidio no íntimo;0
Taltal;2104;Antofagasta;2;2021-08-01;Hurtos;6
Río Verde;12103;Magallanes y de la Antártica Chilena;12;2021-07-01;Ofensas al pudor;0
Pelarco;7106;Maule;7;2022-04-01;Robo con violación;0
Taltal;2104;Antofagasta;2;2018-02-01;Desórdenes públicos;5
Chile Chico;11401;Aysén del General Carlos Ibáñez del Campo;11;2020-01-01;Lesiones menos graves;1
Curepto;7103;Maule;7;2019-12-01;Otras infracciones a la ley de armas;0
Vilcún;9119;La Araucanía;9;2018-02-01;Animales sueltos en la vía pública;1
Timaukel;12303;Magallanes y de la Antártica Chilena;12;2019-12-01;Otras infracciones a la ley de armas;0
Los Alamos;8206;Biobío;8;2022-11-01;Femicidio no íntimo;0
Castro;10201;Los Lagos;10;2023-01-01;Comercio ilegal;18
Rinconada;5303;Valparaíso;5;2022-06-01;Robo en lugar habitado;4
Mostazal;6110;Libertador Gral. Bernardo O'Higgins;6;2020-11-01;Lesiones menos graves;2
Queilén;10207;Los Lagos;10;2021-09-01;Desórdenes públicos;0
Ovalle;4301;Coquimbo;4;2019-06-01;Violencia intrafamiliar a adulto mayor;1
Yungay;16109;Ñuble;16;2021-04-01;Delitos asociados a drogas;1
Vallenar;3301;Atacama;3;2022-01-01;Porte / posesión de armas o explosivos;1
Yumbel;8313;Biobío;8;2021-04-01;Comercio ilegal;0
Treguaco;16207;Ñuble;16;2018-01-01;Amenazas o riña;3
Santa Bárbara;8311;Biobío;8;2023-06-01;Violencia intrafamiliar a mujer;3
Curacautín;9203;La Araucanía;9;2020-07-01;Lesiones menos graves;1
Huara;1404;Tarapacá;1;2024-03-01;Abusos sexuales;0
Llaillay;5703;Valparaíso;5;2020-06-01;Robo por sorpresa;0
Zapallar;5405;Valparaíso;5;2024-03-01;Otros robos con fuerza en las cosas;0
Quillota;5501;Valparaíso;5;2023-12-01;Violencia intrafamiliar a mujer;29
La Granja;13111;Metropolitana de Santiago;13;2019-10-01;Abigeato;0
Los Alamos;8206;Biobío;8;2022-02-01;Amenazas con armas;0
Isla de Pascua;5201;Valparaíso;5;2023-03-01;Hurtos;3
Lo Barnechea;13115;Metropolitana de Santiago;13;2023-08-01;Violencia intrafamiliar no clasificada;0
Carahue;9102;La Araucanía;9;2019-09-01;Otros robos con fuerza en las cosas;0
Viña del Mar;5109;Valparaíso;5;2018-01-01;Abigeato;0
Curacaví;13503;Metropolitana de Santiago;13;2020-11-01;Suicidio femicida;0
Molina;7304;Maule;7;2022-06-01;Robo de objetos de o desde vehículo;5
Saavedra;9116;La Araucanía;9;2022-03-01;Daños;3
Concepción;8101;Biobío;8;2018-12-01;Lesiones graves o gravísimas;7
María Elena;2302;Antofagasta;2;2018-10-01;Violencia intrafamiliar no clasificada;0
Punitaqui;4304;Coquimbo;4;2021-08-01;Porte de arma cortante o punzante;0
Ranquil;16206;Ñuble;16;2018-03-01;Violencia intrafamiliar a niño o niña;0
Teodoro Schmidt;9117;La Araucanía;9;2020-08-01;Hurtos;7
San Nicolás;16305;Ñuble;16;2022-01-01;Animales sueltos en la vía pública;0
Puchuncaví;5105;Valparaíso;5;2020-12-01;Violencia intrafamiliar a niño o niña;0
Algarrobo;5602;Valparaíso;5;2023-10-01;Robo con violación;0
Ñuñoa;13120;Metropolitana de Santiago;13;2020-11-01;Robo de objetos de o desde vehículo;144
Colina;13301;Metropolitana de Santiago;13;2021-05-01;Lesiones menos graves;3
Mariquina;14106;Los Ríos;14;2018-10-01;Robo violento de vehículo motorizado;0
Olmué;5803;Valparaíso;5;2023-04-01;Otras infracciones a la ley de armas;3
Chiguayante;8103;Biobío;8;2022-06-01;Comercio ilegal;0
Vicuña;4106;Coquimbo;4;2019-02-01;Violencia intrafamiliar no clasificada;1
Paredones;6206;Libertador Gral. Bernardo O'Higgins;6;2021-04-01;Auxilio al suicidio;0
Arica;15101;Arica y Parinacota;15;2023-11-01;Tortura o apremios ilegítimos con violación;0
Quillón;16107;Ñuble;16;2024-03-01;Femicidio no íntimo;0
La Florida;13110;Metropolitana de Santiago;13;2022-07-01;Tráfico de sustancias;2
Tomé;8111;Biobío;8;2018-06-01;Porte / posesión de armas o explosivos;0
Las Condes;13114;Metropolitana de Santiago;13;2018-09-01;Violencia intrafamiliar a niño o niña;6
Concón;5103;Valparaíso;5;2021-04-01;Robos en lugar no habitado;6
San Felipe;5701;Valparaíso;5;2019-04-01;Lesiones graves o gravísimas;0
El Tabo;5605;Valparaíso;5;2018-03-01;Elaboración o producción de sustancias;2
Antofagasta;2101;Antofagasta;2;2018-12-01;Otras infracciones a la ley de drogas;3
Buin;13402;Metropolitana de Santiago;13;2018-04-01;Otras violaciones;0
Río Verde;12103;Magallanes y de la Antártica Chilena;12;2018-03-01;Disparo injustificado;0
Cunco;9103;La Araucanía;9;2021-02-01;Daños;12
La Granja;13111;Metropolitana de Santiago;13;2020-04-01;Otras violaciones;0
Talca;7101;Maule;7;2020-11-01;Violación con homicidio;0
Carahue;9102;La Araucanía;9;2024-03-01;Microtráfico de sustancias;0
Maule;7105;Maule;7;2021-07-01;Abigeato;0
Carahue;9102;La Araucanía;9;2021-12-01;Otras violaciones;0
Iquique;1101;Tarapacá;1;2018-12-01;Otros delitos sexuales;0
Pedro Aguirre Cerda;13121;Metropolitana de Santiago;13;2024-03-01;Violencia intrafamiliar a niño o niña;1
Constitución;7102;Maule;7;2023-02-01;Robo violento de vehículo motorizado;0
Tortel;11303;Aysén del General Carlos Ibáñez del Campo;11;2019-12-01;Robo de objetos de o desde vehículo;0
Diego de Almagro;3202;Atacama;3;2023-04-01;Abigeato;0
Alto del Carmen;3302;Atacama;3;2022-10-01;Suicidio femicida;0
Lautaro;9108;La Araucanía;9;2019-06-01;Consumo de alcohol y drogas en la vía pública;95
Estación Central;13106;Metropolitana de Santiago;13;2022-06-01;Abigeato;0
Melipeuco;9110;La Araucanía;9;2022-08-01;Lesiones menos graves;1
La Granja;13111;Metropolitana de Santiago;13;2021-02-01;Otras violaciones;0
Padre Las Casas;9112;La Araucanía;9;2018-12-01;Tráfico de sustancias;0
Ñiquén;16303;Ñuble;16;2018-01-01;Lesiones graves o gravísimas;0
Colchane;1403;Tarapacá;1;2018-04-01;Tráfico de sustancias;3
Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;2018-12-01;Robos en lugar no habitado;1
Curacaví;13503;Metropolitana de Santiago;13;2022-02-01;Consumo de alcohol y drogas en la vía pública;16
Antofagasta;2101;Antofagasta;2;2020-02-01;Ofensas al pudor;32
Ñuñoa;13120;Metropolitana de Santiago;13;2019-03-01;Violencia intrafamiliar a niño o niña;8
La Florida;13110;Metropolitana de Santiago;13;2022-08-01;Violación con homicidio;0
Pichidegua;6113;Libertador Gral. Bernardo O'Higgins;6;2023-10-01;Robo por sorpresa;0
Torres del Paine;12402;Magallanes y de la Antártica Chilena;12;2019-06-01;Lesiones menos graves;0
Casablanca;5102;Valparaíso;5;2020-09-01;Auxilio al suicidio;0
Lago Ranco;14203;Los Ríos;14;2018-02-01;Otras violaciones;0
San Juan de la Costa;10306;Los Lagos;10;2019-05-01;Animales sueltos en la vía pública;0
El Bosque;13105;Metropolitana de Santiago;13;2023-03-01;Hurtos;52
Lago Verde;11102;Aysén del General Carlos Ibáñez del Campo;11;2018-09-01;Violencia intrafamiliar no clasificada;0
Corral;14102;Los Ríos;14;2018-03-01;Auxilio al suicidio;0
El Bosque;13105;Metropolitana de Santiago;13;2024-02-01;Violencia intrafamiliar a niño o niña;0
Río Ibáñez;11402;Aysén del General Carlos Ibáñez del Campo;11;2019-12-01;Violación con homicidio;0
Pitrufquén;9114;La Araucanía;9;2018-07-01;Otras infracciones a la ley de armas;0
Isla de Maipo;13603;Metropolitana de Santiago;13;2023-11-01;Suicidio femicida;0
San Pedro;13505;Metropolitana de Santiago;13;2018-09-01;Delitos asociados a drogas;0
Futrono;14202;Los Ríos;14;2020-07-01;Comercio ilegal;0
Concepción;8101;Biobío;8;2022-12-01;Otros delitos sexuales;6
Portezuelo;16205;Ñuble;16;2018-11-01;Robo violento de vehículo motorizado;0
Antofagasta;2101;Antofagasta;2;2022-01-01;Violación con homicidio;0
Curicó;7301;Maule;7;2019-09-01;Robo violento de vehículo motorizado;0
Punitaqui;4304;Coquimbo;4;2023-10-01;Tortura o apremios ilegítimos con violación;0
Hualañé;7302;Maule;7;2021-09-01;Porte de arma cortante o punzante;1
Coquimbo;4102;Coquimbo;4;2022-08-01;Porte de arma cortante o punzante;8
Petorca;5404;Valparaíso;5;2020-05-01;Robo de vehículo motorizado;0
Freire;9105;La Araucanía;9;2021-06-01;Violencia intrafamiliar a niño o niña;0
Puente Alto;13201;Metropolitana de Santiago;13;2020-09-01;Tráfico de sustancias;3
Marchihue;6204;Libertador Gral. Bernardo O'Higgins;6;2018-06-01;Violación con homicidio;0
Nancagua;6305;Libertador Gral. Bernardo O'Higgins;6;2019-09-01;Abusos sexuales;0
Bulnes;16102;Ñuble;16;2018-02-01;Femicidio;0
Panquehue;5704;Valparaíso;5;2020-04-01;Consumo de alcohol y drogas en la vía pública;0
San Ignacio;16108;Ñuble;16;2018-11-01;Robo en lugar habitado;0
Dalcahue;10205;Los Lagos;10;2023-12-01;Otras infracciones a la ley de drogas;0
Purén;9208;La Araucanía;9;2022-04-01;Desórdenes públicos;0
Concepción;8101;Biobío;8;2021-02-01;Violencia intrafamiliar a hombre;17
Puerto Octay;10302;Los Lagos;10;2020-12-01;Robos en lugar no habitado;3
Parral;7404;Maule;7;2023-04-01;Receptación;1
Conchalí;13104;Metropolitana de Santiago;13;2021-06-01;Delitos asociados a drogas;3
Lo Prado;13117;Metropolitana de Santiago;13;2018-07-01;Elaboración o producción de sustancias;0
Penco;8107;Biobío;8;2018-01-01;Violencia intrafamiliar a hombre;4
Isla de Pascua;5201;Valparaíso;5;2019-12-01;Amenazas con armas;0
Maullín;10108;Los Lagos;10;2022-07-01;Comercio ilegal;0
Tierra Amarilla;3103;Atacama;3;2019-10-01;Robos en lugar no habitado;16
Río Negro;10305;Los Lagos;10;2020-01-01;Robo con violación;0
Alto Biobío;8314;Biobío;8;2019-10-01;Suicidio femicida;0
Coltauco;6104;Libertador Gral. Bernardo O'Higgins;6;2019-09-01;Porte / posesión de armas o explosivos;0
Coelemu;16203;Ñuble;16;2021-12-01;Robo de objetos de o desde vehículo;0
Curacautín;9203;La Araucanía;9;2022-08-01;Violencia intrafamiliar a adulto mayor;0
Mariquina;14106;Los Ríos;14;2021-10-01;Auxilio al suicidio;0
Putaendo;5705;Valparaíso;5;2022-12-01;Disparo injustificado;0
Pudahuel;13124;Metropolitana de Santiago;13;2024-03-01;Disparo injustificado;1
Huasco;3304;Atacama;3;2020-05-01;Robo por sorpresa;0
Castro;10201;Los Lagos;10;2020-04-01;Homicidios;1
Copiapó;3101;Atacama;3;2020-04-01;Violencia intrafamiliar no clasificada;6
Camarones;15102;Arica y Parinacota;15;2024-01-01;Elaboración o producción de sustancias;0
Lago Ranco;14203;Los Ríos;14;2023-05-01;Robos en lugar no habitado;1
Lanco;14103;Los Ríos;14;2018-07-01;Otras infracciones a la ley de drogas;0
Pudahuel;13124;Metropolitana de Santiago;13;2022-01-01;Robo violento de vehículo motorizado;41
Hualañé;7302;Maule;7;2020-03-01;Femicidio;0
Guaitecas;11203;Aysén del General Carlos Ibáñez del Campo;11;2020-05-01;Delitos asociados a drogas;0
Llanquihue;10107;Los Lagos;10;2023-05-01;Otras infracciones a la ley de armas;0
San José de Maipo;13203;Metropolitana de Santiago;13;2019-10-01;Femicidio no íntimo;0
Villa Alemana;5804;Valparaíso;5;2021-10-01;Robos con violencia o intimidación;19
Los Muermos;10106;Los Lagos;10;2020-07-01;Otros delitos sexuales;0
Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;2023-07-01;Violencia intrafamiliar a mujer;0
Coelemu;16203;Ñuble;16;2018-07-01;Robo con violación;0
Maule;7105;Maule;7;2019-11-01;Lesiones menos graves;2
Pichilemu;6201;Libertador Gral. Bernardo O'Higgins;6;2018-06-01;Tráfico de sustancias;0
Llanquihue;10107;Los Lagos;10;2023-10-01;Robo en lugar habitado;6
Colina;13301;Metropolitana de Santiago;13;2022-11-01;Robo en lugar habitado;22
San Ignacio;16108;Ñuble;16;2022-07-01;Robo de objetos de o desde vehículo;1
Hualpén;8112;Biobío;8;2021-11-01;Femicidio;0
Carahue;9102;La Araucanía;9;2022-01-01;Abigeato;2
Natales;12401;Magallanes y de la Antártica Chilena;12;2021-06-01;Otros delitos sexuales;0
Chillán;16101;Ñuble;16;2021-08-01;Lesiones leves;26
Machalí;6108;Libertador Gral. Bernardo O'Higgins;6;2019-09-01;Microtráfico de sustancias;2
Buin;13402;Metropolitana de Santiago;13;2020-06-01;Robo violento de vehículo motorizado;0
Los Lagos;14104;Los Ríos;14;2018-09-01;Amenazas con armas;1
Sierra Gorda;2103;Antofagasta;2;2024-03-01;Receptación;8
San Javier;7406;Maule;7;2020-01-01;Homicidios;0
Lo Prado;13117;Metropolitana de Santiago;13;2024-03-01;Robo con homicidio;0
Recoleta;13127;Metropolitana de Santiago;13;2018-07-01;Microtráfico de sustancias;7
Las Condes;13114;Metropolitana de Santiago;13;2023-04-01;Robos en lugar no habitado;22
La Higuera;4104;Coquimbo;4;2022-09-01;Otras infracciones a la ley de armas;0
Cholchol;9121;La Araucanía;9;2018-12-01;Desórdenes públicos;0
Coelemu;16203;Ñuble;16;2018-03-01;Suicidio femicida;0
San Pedro de la Paz;8108;Biobío;8;2020-09-01;Otros delitos sexuales;0
Calama;2201;Antofagasta;2;2021-12-01;Homicidios;0
Mulchén;8305;Biobío;8;2018-10-01;Delitos asociados a drogas;4
Las Cabras;6107;Libertador Gral. Bernardo O'Higgins;6;2021-05-01;Robo con homicidio;0
Ñiquén;16303;Ñuble;16;2021-03-01;Homicidios;1
Tierra Amarilla;3103;Atacama;3;2021-05-01;Robo de objetos de o desde vehículo;1
Chanco;7202;Maule;7;2023-10-01;Delitos asociados a drogas;0
Estación Central;13106;Metropolitana de Santiago;13;2019-04-01;Disparo injustificado;0
Taltal;2104;Antofagasta;2;2020-01-01;Robo violento de vehículo motorizado;0
Putre;15201;Arica y Parinacota;15;2018-09-01;Otras infracciones a la ley de armas;1
Portezuelo;16205;Ñuble;16;2021-02-01;Elaboración o producción de sustancias;0
Rinconada;5303;Valparaíso;5;2020-10-01;Porte de arma cortante o punzante;0
Pozo Almonte;1401;Tarapacá;1;2020-07-01;Violación con homicidio;0
Lago Ranco;14203;Los Ríos;14;2022-01-01;Robo frustrado;0
Huara;1404;Tarapacá;1;2021-07-01;Animales sueltos en la vía pública;0
Codegua;6102;Libertador Gral. Bernardo O'Higgins;6;2023-10-01;Robo violento de vehículo motorizado;0
Tortel;11303;Aysén del General Carlos Ibáñez del Campo;11;2019-08-01;Delitos asociados a drogas;0
Huasco;3304;Atacama;3;2023-12-01;Porte / posesión de armas o explosivos;0
San Ramón;13131;Metropolitana de Santiago;13;2022-02-01;Violencia intrafamiliar a niño o niña;1
O'Higgins;11302;Aysén del General Carlos Ibáñez del Campo;11;2022-03-01;Otras violaciones;0
Chépica;6302;Libertador Gral. Bernardo O'Higgins;6;2021-01-01;Auxilio al suicidio;0
Maule;7105;Maule;7;2022-08-01;Otros delitos sexuales;0
Isla de Maipo;13603;Metropolitana de Santiago;13;2020-10-01;Consumo de alcohol y drogas en la vía pública;39
Pencahue;7107;Maule;7;2020-07-01;Violencia intrafamiliar a hombre;0
San Carlos;16301;Ñuble;16;2021-10-01;Femicidio no íntimo;0
San José de Maipo;13203;Metropolitana de Santiago;13;2021-08-01;Lesiones leves;5
Vicuña;4106;Coquimbo;4;2022-11-01;Consumo de alcohol y drogas en la vía pública;39
San Ramón;13131;Metropolitana de Santiago;13;2018-07-01;Otros robos con fuerza en las cosas;0
Pemuco;16105;Ñuble;16;2018-03-01;Otros delitos sexuales;0
Pirque;13202;Metropolitana de Santiago;13;2019-02-01;Daños;14
Valdivia;14101;Los Ríos;14;2023-06-01;Otras infracciones a la ley de armas;4
La Estrella;6202;Libertador Gral. Bernardo O'Higgins;6;2023-01-01;Robo con violación;0
Placilla;6308;Libertador Gral. Bernardo O'Higgins;6;2021-05-01;Delitos asociados a drogas;0
Caldera;3102;Atacama;3;2023-02-01;Robo con violación;0
Quinchao;10210;Los Lagos;10;2021-09-01;Robo con violación;0
Río Hurtado;4305;Coquimbo;4;2021-01-01;Otras infracciones a la ley de drogas;0
Río Negro;10305;Los Lagos;10;2022-12-01;Violación con homicidio;0
Graneros;6106;Libertador Gral. Bernardo O'Higgins;6;2019-02-01;Daños;12
El Tabo;5605;Valparaíso;5;2023-12-01;Violencia intrafamiliar a hombre;1
Mariquina;14106;Los Ríos;14;2020-03-01;Disparo injustificado;0
Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;2024-03-01;Auxilio al suicidio;0
San Ramón;13131;Metropolitana de Santiago;13;2024-01-01;Receptación;5
Hijuelas;5503;Valparaíso;5;2022-08-01;Lesiones leves;4
Frutillar;10105;Los Lagos;10;2024-01-01;Auxilio al suicidio;0
Puerto Montt;10101;Los Lagos;10;2022-07-01;Abusos sexuales;18
Monte Patria;4303;Coquimbo;4;2020-10-01;Consumo de alcohol y drogas en la vía pública;30
Puente Alto;13201;Metropolitana de Santiago;13;2020-05-01;Desórdenes públicos;5
San Joaquín;13129;Metropolitana de Santiago;13;2022-05-01;Suicidio femicida;0
Putaendo;5705;Valparaíso;5;2020-12-01;Robo con homicidio;0
Pemuco;16105;Ñuble;16;2018-02-01;Robo de vehículo motorizado;1
Parral;7404;Maule;7;2018-12-01;Femicidio;0
Rinconada;5303;Valparaíso;5;2018-10-01;Comercio ilegal;0
Fresia;10104;Los Lagos;10;2018-11-01;Violencia intrafamiliar a niño o niña;1
Freirina;3303;Atacama;3;2023-09-01;Desórdenes públicos;0
Pumanque;6309;Libertador Gral. Bernardo O'Higgins;6;2022-11-01;Robo de vehículo motorizado;0
Quintero;5107;Valparaíso;5;2021-12-01;Homicidios;0
Rancagua;6101;Libertador Gral. Bernardo O'Higgins;6;2021-03-01;Daños;127
Lumaco;9207;La Araucanía;9;2023-08-01;Animales sueltos en la vía pública;2
Los Alamos;8206;Biobío;8;2020-01-01;Lesiones graves o gravísimas;1
Perquenco;9113;La Araucanía;9;2019-04-01;Homicidios;0
Cabrero;8303;Biobío;8;2023-07-01;Robo en lugar habitado;5
Lota;8106;Biobío;8;2020-09-01;Violencia intrafamiliar a adulto mayor;2
Los Vilos;4203;Coquimbo;4;2021-02-01;Violencia intrafamiliar a adulto mayor;0
Talagante;13601;Metropolitana de Santiago;13;2020-09-01;Robos en lugar no habitado;4
Santa María;5706;Valparaíso;5;2020-04-01;Robo con violación;0
Calle Larga;5302;Valparaíso;5;2023-09-01;Amenazas con armas;0
San Gregorio;12104;Magallanes y de la Antártica Chilena;12;2020-05-01;Elaboración o producción de sustancias;0
Chillán;16101;Ñuble;16;2019-01-01;Auxilio al suicidio;0
Copiapó;3101;Atacama;3;2018-09-01;Violación con homicidio;0
Ranquil;16206;Ñuble;16;2023-01-01;Robos con violencia o intimidación;0
San Pablo;10307;Los Lagos;10;2021-01-01;Abigeato;1
Puqueldón;10206;Los Lagos;10;2020-08-01;Violencia intrafamiliar a niño o niña;0
Quemchi;10209;Los Lagos;10;2021-08-01;Desórdenes públicos;2
Paredones;6206;Libertador Gral. Bernardo O'Higgins;6;2018-03-01;Elaboración o producción de sustancias;3
Mostazal;6110;Libertador Gral. Bernardo O'Higgins;6;2018-05-01;Lesiones graves o gravísimas;1
Arica;15101;Arica y Parinacota;15;2022-08-01;Suicidio femicida;0
Cartagena;5603;Valparaíso;5;2023-04-01;Receptación;7
Bulnes;16102;Ñuble;16;2022-08-01;Microtráfico de sustancias;1
Santa María;5706;Valparaíso;5;2020-06-01;Robo violento de vehículo motorizado;0
Vilcún;9119;La Araucanía;9;2020-03-01;Porte de arma cortante o punzante;0
Purén;9208;La Araucanía;9;2018-12-01;Animales sueltos en la vía pública;1
Combarbalá;4302;Coquimbo;4;2021-11-01;Lesiones graves o gravísimas;0
Paredones;6206;Libertador Gral. Bernardo O'Higgins;6;2022-09-01;Disparo injustificado;0
Puente Alto;13201;Metropolitana de Santiago;13;2021-11-01;Femicidio;0
Romeral;7306;Maule;7;2021-07-01;Animales sueltos en la vía pública;2
Padre Hurtado;13604;Metropolitana de Santiago;13;2018-12-01;Lesiones menos graves;2
La Ligua;5401;Valparaíso;5;2021-05-01;Desórdenes públicos;0
San Ignacio;16108;Ñuble;16;2019-05-01;Microtráfico de sustancias;1
Cerro Navia;13103;Metropolitana de Santiago;13;2019-12-01;Robo frustrado;1
Hijuelas;5503;Valparaíso;5;2022-04-01;Lesiones graves o gravísimas;0
Vilcún;9119;La Araucanía;9;2023-06-01;Tráfico de sustancias;0
Chillán Viejo;16103;Ñuble;16;2020-02-01;Lesiones graves o gravísimas;1
Alto Hospicio;1107;Tarapacá;1;2018-05-01;Femicidio no íntimo;0
Colina;13301;Metropolitana de Santiago;13;2019-02-01;Robo frustrado;7
La Granja;13111;Metropolitana de Santiago;13;2024-02-01;Robo con violación;1
Curepto;7103;Maule;7;2019-03-01;Violencia intrafamiliar a niño o niña;0
Nacimiento;8306;Biobío;8;2023-09-01;Otras infracciones a la ley de drogas;0
Cochrane;11301;Aysén del General Carlos Ibáñez del Campo;11;2024-01-01;Auxilio al suicidio;0
Huechuraba;13107;Metropolitana de Santiago;13;2021-01-01;Otras infracciones a la ley de armas;1
San Esteban;5304;Valparaíso;5;2023-07-01;Violencia intrafamiliar a adulto mayor;0
Quillota;5501;Valparaíso;5;2018-05-01;Consumo de alcohol y drogas en la vía pública;35
Isla de Pascua;5201;Valparaíso;5;2020-02-01;Porte de arma cortante o punzante;0
Sierra Gorda;2103;Antofagasta;2;2021-07-01;Femicidio;0
Iquique;1101;Tarapacá;1;2020-01-01;Lesiones menos graves;12
Viña del Mar;5109;Valparaíso;5;2022-10-01;Receptación;12
Cerro Navia;13103;Metropolitana de Santiago;13;2022-10-01;Tortura o apremios ilegítimos con violación;0
Lo Barnechea;13115;Metropolitana de Santiago;13;2023-04-01;Consumo de alcohol y drogas en la vía pública;18
Collipulli;9202;La Araucanía;9;2023-11-01;Amenazas con armas;0
Quellón;10208;Los Lagos;10;2020-05-01;Receptación;2
Concepción;8101;Biobío;8;2020-12-01;Robos en lugar no habitado;40
San Pedro de la Paz;8108;Biobío;8;2023-01-01;Lesiones leves;24
Chillán;16101;Ñuble;16;2018-10-01;Tráfico de sustancias;3
General Lagos;15202;Arica y Parinacota;15;2018-06-01;Tortura o apremios ilegítimos con violación;0
Palena;10404;Los Lagos;10;2018-08-01;Robo de objetos de o desde vehículo;0
Nogales;5506;Valparaíso;5;2023-02-01;Suicidio femicida;0
Calbuco;10102;Los Lagos;10;2020-07-01;Consumo de alcohol y drogas en la vía pública;54
Temuco;9101;La Araucanía;9;2018-09-01;Suicidio femicida;0
La Serena;4101;Coquimbo;4;2018-05-01;Suicidio femicida;0
Collipulli;9202;La Araucanía;9;2021-12-01;Robo frustrado;1
Santiago;13101;Metropolitana de Santiago;13;2021-08-01;Desórdenes públicos;14
Cañete;8203;Biobío;8;2022-07-01;Delitos asociados a drogas;5
Curanilahue;8205;Biobío;8;2024-01-01;Abusos sexuales;0
Algarrobo;5602;Valparaíso;5;2022-09-01;Hurtos;1
Los Sauces;9206;La Araucanía;9;2018-08-01;Otros robos con fuerza en las cosas;1
Nogales;5506;Valparaíso;5;2018-04-01;Otros robos con fuerza en las cosas;0
Los Vilos;4203;Coquimbo;4;2022-11-01;Otros delitos sexuales;1
Quilaco;8308;Biobío;8;2019-09-01;Robos con violencia o intimidación;1
Puerto Octay;10302;Los Lagos;10;2019-12-01;Robo por sorpresa;1
Perquenco;9113;La Araucanía;9;2020-08-01;Microtráfico de sustancias;0
Loncoche;9109;La Araucanía;9;2022-04-01;Amenazas o riña;12
Vitacura;13132;Metropolitana de Santiago;13;2024-01-01;Auxilio al suicidio;0
Nacimiento;8306;Biobío;8;2019-04-01;Lesiones leves;8
Sagrada Familia;7307;Maule;7;2019-02-01;Tortura o apremios ilegítimos con violación;0
El Bosque;13105;Metropolitana de Santiago;13;2018-03-01;Elaboración o producción de sustancias;0
Perquenco;9113;La Araucanía;9;2024-02-01;Robos con violencia o intimidación;1
Tirúa;8207;Biobío;8;2021-12-01;Robo de objetos de o desde vehículo;0
El Tabo;5605;Valparaíso;5;2019-02-01;Robo de vehículo motorizado;3
San Pedro;13505;Metropolitana de Santiago;13;2022-05-01;Robo de objetos de o desde vehículo;2
Quemchi;10209;Los Lagos;10;2018-02-01;Consumo de alcohol y drogas en la vía pública;3
Lolol;6304;Libertador Gral. Bernardo O'Higgins;6;2021-09-01;Ofensas al pudor;1
Huasco;3304;Atacama;3;2020-02-01;Tráfico de sustancias;0
Chaitén;10401;Los Lagos;10;2022-05-01;Robos en lugar no habitado;0
Vitacura;13132;Metropolitana de Santiago;13;2020-04-01;Violencia intrafamiliar a adulto mayor;0
Cauquenes;7201;Maule;7;2019-10-01;Robo por sorpresa;0
San Joaquín;13129;Metropolitana de Santiago;13;2023-08-01;Femicidio no íntimo;0
Tirúa;8207;Biobío;8;2020-07-01;Elaboración o producción de sustancias;0
Colchane;1403;Tarapacá;1;2022-05-01;Homicidios;0
Los Alamos;8206;Biobío;8;2023-08-01;Porte / posesión de armas o explosivos;0
Cochrane;11301;Aysén del General Carlos Ibáñez del Campo;11;2023-10-01;Femicidio no íntimo;0
San Pablo;10307;Los Lagos;10;2018-02-01;Amenazas con armas;0
Hualqui;8105;Biobío;8;2022-03-01;Femicidio no íntimo;0
Alto del Carmen;3302;Atacama;3;2018-01-01;Microtráfico de sustancias;0
Padre Las Casas;9112;La Araucanía;9;2023-10-01;Animales sueltos en la vía pública;2
Nacimiento;8306;Biobío;8;2022-10-01;Robo por sorpresa;0
Melipilla;13501;Metropolitana de Santiago;13;2020-06-01;Violencia intrafamiliar no clasificada;2
Cartagena;5603;Valparaíso;5;2019-03-01;Otras infracciones a la ley de armas;0
Monte Patria;4303;Coquimbo;4;2019-02-01;Suicidio femicida;0
Curicó;7301;Maule;7;2020-04-01;Amenazas o riña;92
Hualpén;8112;Biobío;8;2018-08-01;Robo frustrado;3
Ollagüe;2202;Antofagasta;2;2019-07-01;Robo de vehículo motorizado;0
Concón;5103;Valparaíso;5;2020-09-01;Microtráfico de sustancias;5
Machalí;6108;Libertador Gral. Bernardo O'Higgins;6;2021-03-01;Violencia intrafamiliar a hombre;4
Lo Prado;13117;Metropolitana de Santiago;13;2022-01-01;Violencia intrafamiliar a adulto mayor;9
Coquimbo;4102;Coquimbo;4;2023-01-01;Lesiones graves o gravísimas;13
Llaillay;5703;Valparaíso;5;2023-11-01;Otros delitos sexuales;0
Nueva Imperial;9111;La Araucanía;9;2019-06-01;Robo con violación;0
Puqueldón;10206;Los Lagos;10;2018-07-01;Elaboración o producción de sustancias;0
Curaco de Vélez;10204;Los Lagos;10;2022-08-01;Suicidio femicida;0
Hualaihué;10403;Los Lagos;10;2020-10-01;Robo de objetos de o desde vehículo;0
Mostazal;6110;Libertador Gral. Bernardo O'Higgins;6;2018-11-01;Violencia intrafamiliar a adulto mayor;0
Punta Arenas;12101;Magallanes y de la Antártica Chilena;12;2024-03-01;Amenazas con armas;2
Pitrufquén;9114;La Araucanía;9;2023-10-01;Otras infracciones a la ley de drogas;0
